,index,sent=positive,sent=negative
0,im,0.006238847610484787,0.0009831218515774756
1,go,0.022281598035918865,0.008356534509506432
2,say,0.009803903260581249,0.00589873029019678
3,never,0.006684479566746845,0.00491560860247292
4,imagine,0.002228160004126267,0.0004915610077155452
5,member,2.2281597813102888e-10,0.0006554146223361887
6,nation,0.004233503807305527,0.0022939507685426235
7,finest,2.2281597813102888e-10,0.0001638537784742581
8,team,0.010472351194974335,0.0019662435393013366
9,already,0.0013368960916021514,0.0011469754661981191
10,late,0.000222816200947007,0.0006554146223361887
11,begin,0.0013368960916021514,0.0003277073930949016
12,research,0.032753949008077224,0.004587901373231632
13,four,0.000222816200947007,0.0001638537784742581
14,martyr,0.01336895891067771,0.0026216579977839105
15,sick,2.2281597813102888e-10,0.0001638537784742581
16,midst,2.2281597813102888e-10,0.0001638537784742581
17,take,0.005793215654222729,0.00491560860247292
18,little,0.0011140801134711226,0.0004915610077155452
19,time,0.011586431085629479,0.006717998363299997
20,however,0.0006684481572090648,0.0006554146223361887
21,put,0.006238847610484787,0.0011469754661981191
22,lot,0.008021375435533017,0.0022939507685426235
23,strain,2.2281597813102888e-10,0.0001638537784742581
24,didnt,0.0015597120697331804,0.0032770724562664845
25,sleep,0.000222816200947007,0.0006554146223361887
26,night,2.2281597813102888e-10,0.0003277073930949016
27,even,0.006238847610484787,0.006226437519438067
28,talk,0.002896607938519353,0.004096340529369702
29,anyone,0.0020053440259952377,0.0009831218515774756
30,use,0.004456319785436556,0.003768633300128415
31,publish,2.2281597813102888e-10,0.0006554146223361887
32,video,0.1036094300537444,0.026052724888535928
33,per,0.000222816200947007,0.002785511612404554
34,month,0.0008912641353400936,0.004096340529369702
35,week,0.000222816200947007,0.0004915610077155452
36,three,0.000222816200947007,0.0004915610077155452
37,last,0.0024509759822572957,0.0022939507685426235
38,segment,2.2281597813102888e-10,0.0003277073930949016
39,post,0.001782528047864209,0.0008192682369568321
40,today,0.0020053440259952377,0.0014746826954394059
41,practically,2.2281597813102888e-10,0.0001638537784742581
42,sure,0.001782528047864209,0.0009831218515774756
43,unavailable,2.2281597813102888e-10,0.0001638537784742581
44,almost,0.0011140801134711226,0.00213009715392198
45,give,0.008244191413664045,0.005407169446334849
46,hope,0.012700510976284624,0.004096340529369702
47,miracle,2.2281597813102888e-10,0.0001638537784742581
48,occur,2.2281597813102888e-10,0.0004915610077155452
49,normally,2.2281597813102888e-10,0.0001638537784742581
50,render,2.2281597813102888e-10,0.0001638537784742581
51,,0.04545445976154587,0.0368670634534984
52,minute,0.0006684481572090648,0.0001638537784742581
53,id,0.00044563217907803593,0.0006554146223361887
54,want,0.012254879020022565,0.004751754987852276
55,effort,0.012032063041891536,0.0013108290808187624
56,hop,2.2281597813102888e-10,0.0006554146223361887
57,public,0.002896607938519353,0.0029493652270251975
58,heartfelt,2.2281597813102888e-10,0.0003277073930949016
59,apology,0.000222816200947007,0.0001638537784742581
60,kudos,0.004901951741698614,0.0008192682369568321
61,sad,0.001782528047864209,0.003768633300128415
62,also,0.010249535216843306,0.007701120051023858
63,shameful,0.00044563217907803593,0.0001638537784742581
64,ancestor,0.00044563217907803593,0.0004915610077155452
65,fought,0.000222816200947007,0.0004915610077155452
66,without,0.0026737919603883244,0.0018023899246806929
67,care,0.0020053440259952377,0.0014746826954394059
68,life,0.005124767719829643,0.003768633300128415
69,busy,0.000222816200947007,0.0001638537784742581
70,shit,0.0008912641353400936,0.0009831218515774756
71,seek,0.000222816200947007,0.0001638537784742581
72,excuse,2.2281597813102888e-10,0.0003277073930949016
73,personal,0.00044563217907803593,0.0009831218515774756
74,benefit,0.000222816200947007,0.0011469754661981191
75,nepalese,0.008244191413664045,0.003768633300128415
76,owe,2.2281597813102888e-10,0.0003277073930949016
77,beautiful,0.0013368960916021514,0.0004915610077155452
78,dream,0.0006684481572090648,0.0004915610077155452
79,jay,0.006238847610484787,0.0022939507685426235
80,nepal,0.05971468236193172,0.041782671892117706
81,much,0.01693401456077417,0.00491560860247292
82,dilute,2.2281597813102888e-10,0.0001638537784742581
83,nepali,0.0441175638927597,0.020153994762192765
84,videos,0.006907295544877874,0.0001638537784742581
85,series,0.012700510976284624,0.0008192682369568321
86,hat,0.016265566626381085,0.0004915610077155452
87,presentation,0.004456319785436556,0.0003277073930949016
88,kid,0.0006684481572090648,0.0018023899246806929
89,quite,0.0008912641353400936,0.0008192682369568321
90,bored,2.2281597813102888e-10,0.0001638537784742581
91,study,0.005793215654222729,0.004751754987852276
92,history,0.0171568305389052,0.0016385363100600494
93,lecture,2.2281597813102888e-10,0.0001638537784742581
94,way,0.010917983151236392,0.00589873029019678
95,explain,0.004679135763567585,0.0011469754661981191
96,felt,0.001782528047864209,0.0008192682369568321
97,really,0.017602462495167257,0.004751754987852276
98,know,0.018493726407691376,0.008028827280265145
99,indian,0.002896607938519353,0.0063902911340587105
100,movie,0.004010687829174498,0.0004915610077155452
101,play,0.001782528047864209,0.0009831218515774756
102,hatsoff,0.0011140801134711226,0.0001638537784742581
103,ur,0.0055703996760917,0.0011469754661981191
104,still,0.004679135763567585,0.005571023060955493
105,forget,0.0015597120697331804,0.0006554146223361887
106,rip,0.00044563217907803593,0.0013108290808187624
107,sahid,0.005347583697960671,0.0018023899246806929
108,haru,0.008689823369926103,0.022447945366881772
109,usually,2.2281597813102888e-10,0.0001638537784742581
110,dont,0.009358271304319191,0.007701120051023858
111,subscribe,0.0024509759822572957,0.0003277073930949016
112,channel,0.024064125860967095,0.00213009715392198
113,u,0.02295004597031195,0.007701120051023858
114,get,0.018048094451429318,0.01015892427033351
115,subscription,0.0015597120697331804,0.0001638537784742581
116,please,0.020721886189001663,0.00819268089488579
117,continue,0.004233503807305527,0.0006554146223361887
118,happen,0.004456319785436556,0.00213009715392198
119,next,0.018270910429560347,0.004587901373231632
120,subscriber,0.0055703996760917,0.0003277073930949016
121,would,0.012032063041891536,0.0032770724562664845
122,happy,0.003342239894781411,0.0004915610077155452
123,see,0.01359177488880874,0.004260194143990346
124,wish,0.006907295544877874,0.0014746826954394059
125,film,0.0008912641353400936,0.0003277073930949016
126,make,0.03854716443948397,0.014419118250470242
127,great,0.05102485921482159,0.003440926070887128
128,segue,2.2281597813102888e-10,0.0001638537784742581
129,revolution,0.00044563217907803593,0.0014746826954394059
130,afterwards,2.2281597813102888e-10,0.0001638537784742581
131,rana,0.006238847610484787,0.006554144748679354
132,regime,0.0013368960916021514,0.0013108290808187624
133,abolish,0.00044563217907803593,0.0003277073930949016
134,back,0.0031194239166503824,0.0026216579977839105
135,school,0.016042750648250056,0.020809409220675337
136,information,0.015819934670119027,0.0009831218515774756
137,minimal,2.2281597813102888e-10,0.0001638537784742581
138,part,0.03654182063630471,0.00868424173874772
139,fast,0.0020053440259952377,0.0008192682369568321
140,plz,0.004456319785436556,0.0011469754661981191
141,condolence,2.2281597813102888e-10,0.0001638537784742581
142,jai,0.002896607938519353,0.0011469754661981191
143,ama,2.2281597813102888e-10,0.0003277073930949016
144,yo,0.006907295544877874,0.014910679094332172
145,saput,2.2281597813102888e-10,0.0001638537784742581
146,ko,0.03186268509555311,0.043257354423703494
147,sadhai,0.0006684481572090648,0.0009831218515774756
148,naam,0.00044563217907803593,0.0013108290808187624
149,chamkirahoss,2.2281597813102888e-10,0.0001638537784742581
150,combine,2.2281597813102888e-10,0.0001638537784742581
151,upload,0.0031194239166503824,0.0006554146223361887
152,single,0.0015597120697331804,0.0004915610077155452
153,rest,0.00044563217907803593,0.0006554146223361887
154,peace,0.0013368960916021514,0.0009831218515774756
155,sabailai,0.000222816200947007,0.0004915610077155452
156,tribhuwan,0.00044563217907803593,0.0001638537784742581
157,flee,2.2281597813102888e-10,0.0001638537784742581
158,india,0.004679135763567585,0.007701120051023858
159,event,0.0013368960916021514,0.0004915610077155452
160,embassy,2.2281597813102888e-10,0.0003277073930949016
161,ktm,0.00044563217907803593,0.0006554146223361887
162,v,0.0006684481572090648,0.0001638537784742581
163,bir,0.002228160004126267,0.0003277073930949016
